cutoff,family,component,mode,training_n,validation_n,train_supported,validation_supported
2020-12-31,trend,negative,annual_reset,0,0,False,False
2020-12-31,trend,nonnegative,annual_reset,0,0,False,False
2020-12-31,volatility,low,annual_reset,0,0,False,False
2020-12-31,volatility,high,annual_reset,0,0,False,False
2021-03-31,trend,negative,insufficient_history,0,1,False,False
2021-03-31,trend,nonnegative,insufficient_history,0,9,False,False
2021-03-31,volatility,low,insufficient_history,0,1,False,False
2021-03-31,volatility,high,insufficient_history,0,9,False,False
2021-06-30,trend,negative,insufficient_history,0,9,False,False
2021-06-30,trend,nonnegative,insufficient_history,9,4,False,False
2021-06-30,volatility,low,insufficient_history,1,4,False,False
2021-06-30,volatility,high,insufficient_history,8,9,False,False
2021-09-30,trend,negative,insufficient_history,10,9,False,False
2021-09-30,trend,nonnegative,insufficient_history,12,4,False,False
2021-09-30,volatility,low,insufficient_history,4,1,False,False
2021-09-30,volatility,high,insufficient_history,18,12,False,False
2021-12-31,trend,negative,annual_reset,17,9,False,False
2021-12-31,trend,nonnegative,annual_reset,17,4,False,False
2021-12-31,volatility,low,annual_reset,6,12,False,False
2021-12-31,volatility,high,annual_reset,28,1,False,False
2022-03-31,trend,negative,insufficient_history,27,10,False,False
2022-03-31,trend,nonnegative,insufficient_history,19,3,False,False
2022-03-31,volatility,low,insufficient_history,16,7,False,False
2022-03-31,volatility,high,insufficient_history,30,6,False,False
2022-06-30,trend,negative,ready,35,12,True,True
2022-06-30,trend,nonnegative,ready,17,1,True,False
2022-06-30,volatility,low,ready,23,0,True,False
2022-06-30,volatility,high,ready,29,13,True,True
2022-09-30,trend,negative,ready,39,3,True,False
2022-09-30,trend,nonnegative,ready,13,10,True,True
2022-09-30,volatility,low,ready,21,9,True,True
2022-09-30,volatility,high,ready,31,4,True,False
2022-12-31,trend,negative,annual_reset,35,12,False,False
2022-12-31,trend,nonnegative,annual_reset,17,1,False,False
2022-12-31,volatility,low,annual_reset,25,4,False,False
2022-12-31,volatility,high,annual_reset,27,9,False,False
2023-03-31,trend,negative,ready,36,1,True,False
2023-03-31,trend,nonnegative,ready,16,12,True,True
2023-03-31,volatility,low,ready,22,12,True,True
2023-03-31,volatility,high,ready,30,1,True,False
2023-06-30,trend,negative,ready,31,8,True,True
2023-06-30,trend,nonnegative,ready,21,5,True,True
2023-06-30,volatility,low,ready,22,13,True,True
2023-06-30,volatility,high,ready,30,0,True,False
2023-09-30,trend,negative,ready,25,10,True,True
2023-09-30,trend,nonnegative,ready,27,3,True,False
2023-09-30,volatility,low,ready,34,12,True,True
2023-09-30,volatility,high,ready,18,1,True,False
2023-12-31,trend,negative,annual_reset,31,13,False,False
2023-12-31,trend,nonnegative,annual_reset,21,0,False,False
2023-12-31,volatility,low,annual_reset,40,13,False,False
2023-12-31,volatility,high,annual_reset,12,0,False,False
2024-03-31,trend,negative,ready,33,10,True,True
2024-03-31,trend,nonnegative,ready,19,3,True,False
2024-03-31,volatility,low,ready,44,8,True,True
2024-03-31,volatility,high,ready,8,5,False,False
2024-06-30,trend,negative,ready,37,1,True,False
2024-06-30,trend,nonnegative,ready,15,12,True,True
2024-06-30,volatility,low,ready,48,12,True,True
2024-06-30,volatility,high,ready,4,1,False,False
2024-09-30,trend,negative,ready,36,12,True,True
2024-09-30,trend,nonnegative,ready,16,1,True,False
2024-09-30,volatility,low,ready,46,13,True,True
2024-09-30,volatility,high,ready,6,0,False,False
2024-12-31,trend,negative,annual_reset,36,1,False,False
2024-12-31,trend,nonnegative,annual_reset,16,12,False,False
2024-12-31,volatility,low,annual_reset,46,2,False,False
2024-12-31,volatility,high,annual_reset,6,11,False,False
2025-03-31,trend,negative,ready,28,9,True,True
2025-03-31,trend,nonnegative,ready,24,4,True,False
2025-03-31,volatility,low,ready,37,9,True,True
2025-03-31,volatility,high,ready,15,4,True,False
2025-06-30,trend,negative,ready,25,12,True,True
2025-06-30,trend,nonnegative,ready,27,1,True,False
2025-06-30,volatility,low,ready,32,10,True,True
2025-06-30,volatility,high,ready,20,3,True,False
2025-09-30,trend,negative,ready,33,0,True,False
2025-09-30,trend,nonnegative,ready,19,13,True,True
2025-09-30,volatility,low,ready,34,10,True,True
2025-09-30,volatility,high,ready,18,3,True,False
2025-12-31,trend,negative,annual_reset,26,0,False,False
2025-12-31,trend,nonnegative,annual_reset,26,13,False,False
2025-12-31,volatility,low,annual_reset,33,5,False,False
2025-12-31,volatility,high,annual_reset,19,8,False,False
2026-03-31,trend,negative,ready,20,2,True,False
2026-03-31,trend,nonnegative,ready,32,11,True,True
2026-03-31,volatility,low,ready,29,12,True,True
2026-03-31,volatility,high,ready,23,1,True,False
2026-06-30,trend,negative,ready,19,4,True,False
2026-06-30,trend,nonnegative,ready,33,9,True,True
2026-06-30,volatility,low,ready,38,4,True,False
2026-06-30,volatility,high,ready,14,9,True,True
